# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.655416168272495270e-02 9.781770408153533936e-03 6.968508940190076828e-03 3.544194936752319336e+00 2.854745090007781982e-01 2.655416168272495270e-02 9.781770408153533936e-03 6.968508940190076828e-03 3.544194936752319336e+00 2.854745090007781982e-01
1.000000000000000000e+03 2.320476807653903961e-03 1.513932133093476295e-03 8.116521639749407768e-04 2.487481012940406799e-02 4.885109141469001770e-02 2.320476807653903961e-03 1.513932133093476295e-03 8.116521639749407768e-04 2.487481012940406799e-02 4.885109141469001770e-02
2.000000000000000000e+03 1.686561503447592258e-03 2.366150496527552605e-03 9.439353016205132008e-04 1.680331677198410034e-02 3.292130678892135620e-02 1.686561503447592258e-03 2.366150496527552605e-03 9.439353016205132008e-04 1.680331677198410034e-02 3.292130678892135620e-02
3.000000000000000000e+03 1.644364674575626850e-03 2.706995233893394470e-03 1.041792682372033596e-03 1.279567554593086243e-02 2.928961999714374542e-02 1.644364674575626850e-03 2.706995233893394470e-03 1.041792682372033596e-03 1.279567554593086243e-02 2.928961999714374542e-02
4.000000000000000000e+03 1.591245410963892937e-03 2.835589461028575897e-03 7.473828736692667007e-04 1.027347706258296967e-02 2.025800198316574097e-02 1.591245410963892937e-03 2.835589461028575897e-03 7.473828736692667007e-04 1.027347706258296967e-02 2.025800198316574097e-02
5.000000000000000000e+03 2.008435083553195000e-03 2.982286270707845688e-03 7.680943817831575871e-04 6.408225744962692261e-03 9.102202020585536957e-03 2.008435083553195000e-03 2.982286270707845688e-03 7.680943817831575871e-04 6.408225744962692261e-03 9.102202020585536957e-03
6.000000000000000000e+03 1.867807353846728802e-03 2.565987408161163330e-03 7.110961014404892921e-04 4.295811988413333893e-03 5.281852092593908310e-03 1.867807353846728802e-03 2.565987408161163330e-03 7.110961014404892921e-04 4.295811988413333893e-03 5.281852092593908310e-03
7.000000000000000000e+03 1.763806096278131008e-03 2.411069581285119057e-03 5.880979588255286217e-04 3.312112297862768173e-03 3.891930216923356056e-03 1.763806096278131008e-03 2.411069581285119057e-03 5.880979588255286217e-04 3.312112297862768173e-03 3.891930216923356056e-03
8.000000000000000000e+03 1.829810673370957375e-03 2.362686907872557640e-03 5.054711364209651947e-04 2.788851270452141762e-03 3.634039312601089478e-03 1.829810673370957375e-03 2.362686907872557640e-03 5.054711364209651947e-04 2.788851270452141762e-03 3.634039312601089478e-03
9.000000000000000000e+03 1.686865347437560558e-03 2.267295494675636292e-03 4.029293486382812262e-04 2.493914449587464333e-03 2.749000210314989090e-03 1.686865347437560558e-03 2.267295494675636292e-03 4.029293486382812262e-04 2.493914449587464333e-03 2.749000210314989090e-03
