# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.765609718859195709e-02 8.195094764232635498e-03 6.169847846031188965e-01 2.004833891987800598e-03 1.649405620992183685e-02 8.169906139373779297e-01 1.593349874019622803e-02 8.195094764232635498e-03 6.169847846031188965e-01 2.004833891987800598e-03 1.649405620992183685e-02 8.169906139373779297e-01
1.000000000000000000e+03 1.563098048791289330e-03 1.506817498011514544e-04 5.477492231875658035e-03 4.019361920654773712e-03 4.179064708296209574e-04 9.758072905242443085e-03 1.281454460695385933e-03 1.506817498011514544e-04 5.477492231875658035e-03 4.019361920654773712e-03 4.179064708296209574e-04 9.758072905242443085e-03
2.000000000000000000e+03 5.145603325217962265e-03 3.472514217719435692e-04 2.945104846730828285e-03 9.996729204431176186e-04 1.132242250605486333e-04 1.752146705985069275e-02 4.797057248651981354e-03 3.472514217719435692e-04 2.945104846730828285e-03 9.996729204431176186e-04 1.132242250605486333e-04 1.752146705985069275e-02
3.000000000000000000e+03 1.255178358405828476e-03 5.994629827910102904e-05 1.368305645883083344e-03 5.108118057250976562e-04 2.053256685030646622e-05 3.747795475646853447e-03 8.206578204408288002e-04 5.994629827910102904e-05 1.368305645883083344e-03 5.108118057250976562e-04 2.053256685030646622e-05 3.747795475646853447e-03
4.000000000000000000e+03 9.464975446462631226e-04 9.849938214756548405e-05 1.133258221670985222e-03 2.638186269905418158e-04 1.654881816648412496e-05 2.694430062547326088e-03 5.676264408975839615e-04 9.849938214756548405e-05 1.133258221670985222e-03 2.638186269905418158e-04 1.654881816648412496e-05 2.694430062547326088e-03
5.000000000000000000e+03 3.520919010043144226e-03 1.542044483358040452e-04 9.887693449854850769e-04 1.050836362992413342e-04 7.607332463521743193e-06 2.304272959008812904e-03 3.176906611770391464e-03 1.542044483358040452e-04 9.887693449854850769e-04 1.050836362992413342e-04 7.607332463521743193e-06 2.304272959008812904e-03
6.000000000000000000e+03 4.939324571751058102e-04 1.229370827786624432e-04 8.749674889259040356e-04 1.103625472751446068e-04 5.633982254948932678e-06 1.901050796732306480e-03 2.663021441549062729e-04 1.229370827786624432e-04 8.749674889259040356e-04 1.103625472751446068e-04 5.633982254948932678e-06 1.901050796732306480e-03
7.000000000000000000e+03 4.156020877417176962e-04 1.212435527122579515e-04 7.686433382332324982e-04 9.846907050814479589e-05 4.061844720126828179e-06 1.704360591247677803e-03 2.044161228695884347e-04 1.212435527122579515e-04 7.686433382332324982e-04 9.846907050814479589e-05 4.061844720126828179e-06 1.704360591247677803e-03
8.000000000000000000e+03 1.178271602839231491e-03 1.569274027133360505e-04 6.597294704988598824e-04 1.466808898840099573e-04 2.864107273126137443e-06 1.647313358262181282e-03 9.447700576856732368e-04 1.569274027133360505e-04 6.597294704988598824e-04 1.466808898840099573e-04 2.864107273126137443e-06 1.647313358262181282e-03
9.000000000000000000e+03 3.684497205540537834e-04 1.098988577723503113e-04 5.837205681018531322e-04 9.626147948438301682e-05 3.002760422532446682e-06 1.431638607755303383e-03 1.762701140251010656e-04 1.098988577723503113e-04 5.837205681018531322e-04 9.626147948438301682e-05 3.002760422532446682e-06 1.431638607755303383e-03
